产品ID,产品名称,核算边界,碳足迹,企业名称,数据年份,数据类型,是否低碳
49113X0202019A,国Ⅲ小型汽油客车,摇篮到大门,305.44gCO2e / 千米,-,2019,文献数据,否
49113X0192019A,国Ⅳ小型汽油客车,摇篮到大门,300.86gCO2e / 千米,-,2019,文献数据,否
49113X0172019A,国Ⅴ小型汽油客车,摇篮到大门,309.71gCO2e / 千米,-,2019,文献数据,否
88412X0012018A,国内某南方炼厂汽油,摇篮到坟墓,3.7437tCO2e / 公吨,-,2018,文献数据,否
64242X0032021A,国内航空客运（中型飞机）,摇篮到坟墓,0.084kgCO2e / 人·千米,-,2021,文献数据,否
64242X0022020A,国内航空客运（大型飞机）,摇篮到坟墓,0.07kgCO2e / 人·千米,-,2020,文献数据,否
49623X0012022A,国内航空客运（小型飞机）,摇篮到坟墓,0.106kgCO2e / 人·千米,-,2022,文献数据,否
64242X0012020A,国内航空客运（超大型飞机）,摇篮到坟墓,0.093kgCO2e / 人·千米,-,2020,文献数据,否
64243X0022021A,国际航班商务舱,摇篮到坟墓,0.40781kgCO2e / 人·千米,-,2021,文献数据,否
64243X0032021A,国际航班头等舱,摇篮到坟墓,0.56251kgCO2e / 人·千米,-,2021,文献数据,否
65311X0032021A,国际航空货运,摇篮到坟墓,1.0189kgCO2e / 公吨·公里,-,2021,文献数据,否
66031X0032021A,国际飞机航程,摇篮到坟墓,0.18362kgCO2e / 人·千米,-,2021,文献数据,否
66031X0042021A,国际飞机航程经济舱,摇篮到坟墓,0.140625kgCO2e / 人·千米,-,2021,文献数据,否
66031X0052021A,国际飞机航程高端经济舱,摇篮到坟墓,0.225kgCO2e / 人·千米,-,2021,文献数据,否
53112X0022017A,土耳其住宅,摇篮到坟墓,48.86kgCO2e / 平方米·年,-,2017,文献数据,否
01510X0012013A,土豆,摇篮到大门,0.11kgCO2e / 千克,-,2013,文献数据,否
01510X0082007A,土豆,摇篮到大门,0.32kgCO2e / 千克,-,2007,文献数据,否
01510X0092015A,土豆,摇篮到大门,0.18kgCO2e / 千克,-,2015,文献数据,否
01510X0112015A,土豆,摇篮到大门,0.31kgCO2e / 千克,-,2015,文献数据,否
01510X0122016A,土豆,摇篮到大门,344.4kgCO2e / 公吨,-,2016,文献数据,否
01510X0142010A,土豆,摇篮到大门,0.6kgCO2e / 千卡,-,2010,文献数据,否
01510X0072009A,土豆-瑞典,摇篮到大门,0.19kgCO2e / 千克,-,2009,文献数据,否
34131X0262013A,土豆制取生物质乙醇,摇篮到大门,2.2865kgCO2e / 千克,-,2013,文献数据,否
18000X0122009A,地下水,摇篮到大门,0.68kgCO2e / 立方米,-,2009,文献数据,否
31600X0022007A,地板,摇篮到大门,100tCO2e / 公吨,-,2007,文献数据,否
31600X0032007A,地板,摇篮到大门,-1.455tCO2e / 公吨,-,2007,文献数据,否
43913X0022020A,地源热泵,摇篮到坟墓,20.1kgCO2e / 平方米,-,2020,文献数据,否
43912X0032012A,地源热泵机组空调系统,摇篮到大门,844181kgCO2e / 台,-,2012,文献数据,否
17100G0052015A,地热能,摇篮到坟墓,12743.28072kgCO2e / 千瓦时,-,2015,文献数据,否
17200X0162020A,地热能产热,摇篮到坟墓,43.77kgCO2e / 千瓦时,-,2020,文献数据,否
17100G0022015A,地热能发电,摇篮到坟墓,3883.739559kgCO2e / 千瓦时,-,2015,文献数据,否
17100G0032015A,地热能发电,摇篮到坟墓,11828.748188kgCO2e / 千瓦时,-,2015,文献数据,否
17100G0042015A,地热能发电,摇篮到坟墓,80491.60261kgCO2e / 千瓦时,-,2015,文献数据,否
18000X0022009A,地表水,摇篮到大门,0.14kgCO2e / 立方米,-,2009,文献数据,否
53129X0012023A,地铁车站,摇篮到大门,53288.8tCO2e / 个,-,2023,文献数据,否
53129X0022020C,地铁车站（按面积）,大门到大门,3.71tCO2e / 平方米,-,2020,文献数据,否
53222X0012020C,地铁隧道,大门到大门,13000tCO2e / 千米,-,2020,文献数据,否
64111X0012020C,地铁（按人次）,大门到大门,0.7kgCO2e / 人·次,-,2020,文献数据,否
37210X0072022B,坐便器,摇篮到大门,1530kgCO2e / 公吨,-,2022,文献数据,否
01599X0012023A,块茎-中国,摇篮到大门,0.93kgCO2e / 千克,-,2023,文献数据,否
01379X0012010A,坚果,摇篮到大门,3kgCO2e / 千克,-,2010,文献数据,否
